code,name,pinyin,pinyin_initials
000001.SZ,平安银行,pinganyinhang,PAYH
000002.SZ,万  科Ａ,wankeａ,WKＡ
000004.SZ,*ST国华,*stguohua,*GH
000006.SZ,深振业Ａ,shenzhenyeａ,SZYＡ
000007.SZ,全新好,quanxinhao,QXH
000008.SZ,神州高铁,shenzhougaotie,SZGT
000009.SZ,中国宝安,zhongguobaoan,ZGBA
00001.HK,长和,zhanghe,ZH
000010.SZ,美丽生态,meilishengtai,MLST
000011.SZ,深物业A,shenwuyea,SWYA
000012.SZ,南  玻Ａ,nanboａ,NBＡ
000014.SZ,沙河股份,shahegufen,SHGF
000016.SZ,深康佳Ａ,shenkangjiaａ,SKJＡ
000017.SZ,深中华A,shenzhonghuaa,SZHA
000019.SZ,深粮控股,shenliangkonggu,SLKG
00002.HK,中电控股,zhongdiankonggu,ZDKG
000020.SZ,深华发Ａ,shenhuafaａ,SHFＡ
000021.SZ,深科技,shenkeji,SKJ
000025.SZ,特  力Ａ,teliａ,TLＡ
000026.SZ,飞亚达,feiyada,FYD
000027.SZ,深圳能源,shenzhennengyuan,SZNY
000028.SZ,国药一致,guoyaoyizhi,GYYZ
000029.SZ,深深房Ａ,shenshenfangａ,SSFＡ
00003.HK,香港中华煤气,xianggangzhonghuameiqi,XGZHMQ
000030.SZ,富奥股份,fuaogufen,FAGF
000031.SZ,大悦城,dayuecheng,DYC
000032.SZ,深桑达Ａ,shensangdaａ,SSDＡ
000034.SZ,神州数码,shenzhoushuma,SZSM
000035.SZ,中国天楹,zhongguotianying,ZGTY
000036.SZ,华联控股,hualiankonggu,HLKG
000037.SZ,深南电A,shennandiana,SNDA
000039.SZ,中集集团,zhongjijituan,ZJJT
00004.HK,九龙仓集团,jiulongcangjituan,JLCJT
000042.SZ,中洲控股,zhongzhoukonggu,ZZKG
000045.SZ,深纺织Ａ,shenfangzhiａ,SFZＡ
000048.SZ,京基智农,jingjizhinong,JJZN
000049.SZ,德赛电池,desaidianchi,DSDC
00005.HK,汇丰控股,huifengkonggu,HFKG
000050.SZ,深天马Ａ,shentianmaａ,STMＡ
000055.SZ,方大集团,fangdajituan,FDJT
000056.SZ,皇庭国际,huangtingguoji,HTGJ
000058.SZ,深 赛 格,shensaige,SSG
000059.SZ,华锦股份,huajingufen,HJGF
00006.HK,电能实业,diannengshiye,DNSY
000060.SZ,中金岭南,zhongjinlingnan,ZJLN
000061.SZ,农 产 品,nongchanpin,NCP
000062.SZ,深圳华强,shenzhenhuaqiang,SZHQ
000063.SZ,中兴通讯,zhongxingtongxun,ZXTX
000065.SZ,北方国际,beifangguoji,BFGJ
000066.SZ,中国长城,zhongguochangcheng,ZGCC
000068.SZ,华控赛格,huakongsaige,HKSG
000069.SZ,华侨城Ａ,huaqiaochengａ,HQCＡ
00007.HK,智富资源投资,zhifuziyuantouzi,ZFZYTZ
000070.SZ,特发信息,tefaxinxi,TFXX
000078.SZ,海王生物,haiwangshengwu,HWSW
00008.HK,电讯盈科,dianxunyingke,DXYK
000088.SZ,盐 田 港,yantiangang,YTG
000089.SZ,深圳机场,shenzhenjichang,SZJC
00009.HK,金奥国际,jinaoguoji,JAGJ
000090.SZ,天健集团,tianjianjituan,TJJT
